lv,salary,p0,p1,p2,p3
6,30300,1567,3134,4701,6268
7,31800,1644,3288,4932,6576
8,33300,1722,3444,5166,6888
9,34800,1799,3598,5397,7196
10,36300,1877,3754,5631,7508
11,38200,1975,3950,5925,7900
12,40100,2073,4146,6219,8292
13,42000,2171,4342,6513,8684
14,43900,2270,4540,6810,9080
15,45800,2368,4736,7104,9472
16,48200,2492,4984,7476,9968
17,50600,2616,5232,7848,10464
18,53000,2740,5480,8220,10960
19,55400,2864,5728,8592,11456
20,57800,2988,5976,8964,11952
21,60800,3143,6286,9429,12572
22,63800,3298,6596,9894,13192
23,66800,3454,6908,10362,13816
24,69800,3609,7218,10827,14436
25,72800,3764,7528,11292,15056
26,76500,3955,7910,11865,15820
27,80200,4146,8292,12438,16584
28,83900,4338,8676,13014,17352
29,87600,4529,9058,13587,18116
30,92100,4762,9524,14286,19048
31,96600,4994,9988,14982,19976
32,101100,5227,10454,15681,20908
33,105600,5460,10920,16380,21840
34,110100,5692,11384,17076,22768
35,115500,5971,11942,17913,23884
36,120900,6251,12502,18753,25004
37,126300,6530,13060,19590,26120
38,131700,6809,13618,20427,27236
39,137100,7088,14176,21264,28352
40,142500,7367,14734,22101,29468
41,147900,7646,15292,22938,30584
42,150000,7755,15510,23265,31020
43,156400,8086,16172,24258,32344
44,162800,8417,16834,25251,33668
45,169200,8748,17496,26244,34992
46,175600,9079,18158,27237,36316
47,182000,9409,18818,28227,37636
