lv,salary,p0,p1,p2,p3,com,gov
1,23100,325,650,975,1300,1047,174
2,24000,338,676,1014,1352,1087,181
3,25200,355,710,1065,1420,1142,190
4,26400,371,742,1113,1484,1196,199
5,27600,388,776,1164,1552,1250,208
6,28800,405,810,1215,1620,1305,217
7,30300,426,852,1278,1704,1373,229
8,31800,447,894,1341,1788,1441,240
9,33300,469,938,1407,1876,1509,251
10,34800,490,980,1470,1960,1577,263
11,36300,511,1022,1533,2044,1645,274
12,38200,537,1074,1611,2148,1731,288
13,40100,564,1128,1692,2256,1817,303
14,42000,591,1182,1773,2364,1903,317
15,43900,618,1236,1854,2472,1989,331
16,45800,644,1288,1932,2576,2075,346
17,48200,678,1356,2034,2712,2184,364
18,50600,712,1424,2136,2848,2292,382
19,53000,746,1492,2238,2984,2401,400
20,55400,779,1558,2337,3116,2510,418
21,57800,813,1626,2439,3252,2619,436
22,60800,855,1710,2565,3420,2755,459
23,63800,898,1796,2694,3592,2890,482
24,66800,940,1880,2820,3760,3026,504
25,69800,982,1964,2946,3928,3162,527
26,72800,1024,2048,3072,4096,3298,550
27,76500,1076,2152,3228,4304,3466,578
28,80200,1128,2256,3384,4512,3633,606
29,83900,1180,2360,3540,4720,3801,634
30,87600,1233,2466,3699,4932,3969,661
31,92100,1296,2592,3888,5184,4173,695
32,96600,1359,2718,4077,5436,4377,729
33,101100,1422,2844,4266,5688,4580,763
34,105600,1486,2972,4458,5944,4784,797
35,110100,1549,3098,4647,6196,4988,831
36,115500,1625,3250,4875,6500,5233,872
37,120900,1701,3402,5103,6804,5477,913
38,126300,1777,3554,5331,7108,5722,954
39,131700,1853,3706,5559,7412,5967,994
40,137100,1929,3858,5787,7716,6211,1035
41,142500,2005,4010,6015,8020,6456,1076
42,147900,2081,4162,6243,8324,6701,1117
43,150000,2111,4222,6333,8444,6796,1133
44,156400,2201,4402,6603,8804,7086,1181
45,162800,2291,4582,6873,9164,7376,1229
46,169200,2381,4762,7143,9524,7666,1278
47,175600,2471,4942,7413,9884,7956,1326
48,182000,2561,5122,7683,10244,8246,1374
